date,revenue,orders,aov
2024-01-01,96142.81,63,1526.0763492063493
2024-01-02,108560.79000000001,56,1938.585535714286
2024-01-03,77601.77,50,1552.0354
2024-01-04,103105.12,64,1611.0175
2024-01-05,70043.9,47,1490.295744680851
2024-01-06,77387.77,52,1488.2263461538462
2024-01-07,90124.93,61,1477.457868852459
2024-01-08,97759.74,56,1745.7096428571429
2024-01-09,109282.37,64,1707.53703125
2024-01-10,98958.77,69,1434.1850724637682
2024-01-11,100970.77,70,1442.4395714285715
2024-01-12,95805.42,62,1545.2487096774194
2024-01-13,73392.5,49,1497.8061224489795
2024-01-14,116171.66,80,1452.1457500000001
2024-01-15,127412.45,69,1846.5572463768115
2024-01-16,109735.58,73,1503.2271232876712
2024-01-17,107563.58,65,1654.8243076923077
2024-01-18,93126.66,63,1478.2009523809525
2024-01-19,118623.66,77,1540.567012987013
2024-01-20,124728.9,77,1619.8558441558441
2024-01-21,88091.56999999999,48,1835.2410416666664
2024-01-22,93916.25,60,1565.2708333333333
2024-01-23,95124.91,53,1794.8096226415096
2024-01-24,86680.45999999999,54,1605.1937037037035
2024-01-25,100666.15,63,1597.8753968253968
2024-01-26,77866.77,46,1692.7558695652174
2024-01-27,87929.9,51,1724.1156862745097
2024-01-28,74997.55,55,1363.5918181818183
2024-01-29,104868.94,63,1664.5863492063493
2024-01-30,99689.95,63,1582.3801587301587
2024-01-31,81153.84,56,1449.1757142857143
2024-02-01,112149.58,66,1699.2360606060606
2024-02-02,107671.39,63,1709.0696825396826
2024-02-03,100197.43000000001,61,1642.5808196721314
2024-02-04,102778.6,65,1581.2092307692308
2024-02-05,115551.65,64,1805.49453125
2024-02-06,107890.81,64,1685.79390625
2024-02-07,97755.78,60,1629.263
2024-02-08,104671.92,62,1688.2567741935484
2024-02-09,74953.19,60,1249.2198333333333
2024-02-10,102029.49,66,1545.9013636363636
2024-02-11,84432.4,50,1688.648
2024-02-12,76646.27,59,1299.0893220338983
2024-02-13,84090.06,49,1716.1236734693878
2024-02-14,113401.18000000001,68,1667.664411764706
2024-02-15,102254.04,63,1623.08
2024-02-16,100177.61,63,1590.1207936507938
2024-02-17,90101.59,55,1638.2107272727271
2024-02-18,91966.48,61,1507.647213114754
2024-02-19,95365.39,62,1538.1514516129032
2024-02-20,133054.7,71,1874.0098591549297
2024-02-21,87979.7,54,1629.2537037037036
2024-02-22,101015.57,59,1712.128305084746
2024-02-23,123768.4,72,1719.0055555555555
2024-02-24,99167.12,67,1480.1062686567163
2024-02-25,72157.59,53,1361.463962264151
2024-02-26,124272.76,68,1827.540588235294
2024-02-27,87398.56999999999,54,1618.4920370370369
2024-02-28,98137.5,58,1692.0258620689656
2024-02-29,97443.90000000001,58,1680.0672413793104
2024-03-01,75503.33,47,1606.453829787234
2024-03-02,104226.02,58,1797.0003448275863
2024-03-03,91762.5,57,1609.8684210526317
2024-03-04,114374.56,64,1787.1025
2024-03-05,99436.81,70,1420.5258571428571
2024-03-06,89627.28,58,1545.2979310344826
2024-03-07,111117.29000000001,68,1634.0777941176473
2024-03-08,88247.68,55,1604.5032727272726
2024-03-09,86934.25,56,1552.3973214285713
2024-03-10,115890.4,67,1729.7074626865672
2024-03-11,101335.23,57,1777.8110526315788
2024-03-12,88406.5,60,1473.4416666666666
2024-03-13,113453.95999999999,60,1890.8993333333333
2024-03-14,87756.63,54,1625.1227777777779
2024-03-15,137879.63,73,1888.7620547945205
2024-03-16,93131.18,59,1578.4945762711864
2024-03-17,102834.19,57,1804.1085964912281
2024-03-18,57112.47,44,1298.0106818181819
2024-03-19,107650.27,70,1537.861
2024-03-20,71018.8,54,1315.162962962963
2024-03-21,119294.56,77,1549.28
2024-03-22,101917.76,66,1544.2084848484847
2024-03-23,100073.47,65,1539.591846153846
2024-03-24,69655.88,50,1393.1176
2024-03-25,116370.61,68,1711.3325
2024-03-26,97426.65,61,1597.1581967213115
2024-03-27,90951.11,55,1653.6565454545455
2024-03-28,94789.5,60,1579.825
2024-03-29,80612.25,49,1645.1479591836735
2024-03-30,99778.42,52,1918.815769230769
2024-03-31,104301.06,65,1604.6316923076922
2024-04-01,112193.84,77,1457.0628571428572
2024-04-02,89798.08,65,1381.508923076923
2024-04-03,116047.87,71,1634.477042253521
2024-04-04,112362.34,68,1652.3873529411765
2024-04-05,120978.33,74,1634.8422972972974
2024-04-06,96515.62,65,1484.8556923076922
2024-04-07,92749.71,65,1426.9186153846156
2024-04-08,101228.41,57,1775.9370175438596
2024-04-09,84309.65,49,1720.6051020408163
2024-04-10,102569.2,66,1554.0787878787878
2024-04-11,108750.04,64,1699.219375
2024-04-12,99286.02,56,1772.964642857143
2024-04-13,102598.39,69,1486.9331884057972
2024-04-14,117727.71,67,1757.13
2024-04-15,105985.31,69,1536.0189855072463
2024-04-16,95951.25,57,1683.3552631578948
2024-04-17,92310.43,55,1678.3714545454545
2024-04-18,103983.33,70,1485.4761428571428
2024-04-19,97641.61,57,1713.010701754386
2024-04-20,108238.52,57,1898.921403508772
2024-04-21,97946.47,63,1554.705873015873
2024-04-22,107338.87,54,1987.7568518518517
2024-04-23,115777.26,69,1677.931304347826
2024-04-24,106348.2,72,1477.0583333333334
2024-04-25,87496.48,62,1411.2335483870968
2024-04-26,95863.81999999999,52,1843.5349999999999
2024-04-27,109342.93,63,1735.6020634920633
2024-04-28,89177.16,68,1311.4288235294118
2024-04-29,103493.38,60,1724.8896666666667
2024-04-30,85420.08,55,1553.0923636363636
2024-05-01,94553.94,53,1784.036603773585
2024-05-02,78441.78,48,1634.20375
2024-05-03,84550.05,59,1433.0516949152543
2024-05-04,66970.25,40,1674.25625
2024-05-05,100076.6,63,1588.5174603174605
2024-05-06,110127.97,66,1668.605606060606
2024-05-07,106625.72,63,1692.471746031746
2024-05-08,90578.73,59,1535.2327118644066
2024-05-09,83294.71,47,1772.2278723404256
2024-05-10,102936.99,63,1633.9204761904762
2024-05-11,94996.83,69,1376.7656521739132
2024-05-12,98536.65,62,1589.3008064516127
2024-05-13,117474.62,70,1678.2088571428571
2024-05-14,118830.35,69,1722.1789855072464
2024-05-15,90452.4,67,1350.0358208955222
2024-05-16,104687.44,60,1744.7906666666668
2024-05-17,89864.52,55,1633.9003636363636
2024-05-18,109099.56999999999,61,1788.5175409836065
2024-05-19,95162.83,63,1510.5211111111112
2024-05-20,84480.61,53,1593.9737735849058
2024-05-21,92069.72,59,1560.5037288135593
2024-05-22,85660.86,53,1616.242641509434
2024-05-23,103072.66,71,1451.7276056338028
2024-05-24,86990.11,57,1526.1422807017543
2024-05-25,94631.12,56,1689.8414285714284
2024-05-26,93149.37,50,1862.9874
2024-05-27,94727.53,49,1933.2148979591836
2024-05-28,93279.48,63,1480.6266666666666
2024-05-29,122450.14,64,1913.2834375
2024-05-30,99828.11,66,1512.5471212121213
2024-05-31,81845.18,54,1515.6514814814814
2024-06-01,103082.94,65,1585.8913846153846
2024-06-02,93789.88,64,1465.466875
2024-06-03,107474.49,68,1580.507205882353
2024-06-04,98454.9,65,1514.690769230769
2024-06-05,90960.11,58,1568.2777586206896
2024-06-06,83039.11,60,1383.9851666666666
2024-06-07,114193.28,66,1730.2012121212122
2024-06-08,120341.1,69,1744.0739130434783
2024-06-09,93706.67,69,1358.0676811594203
2024-06-10,105109.09,66,1592.5619696969698
2024-06-11,97919.72,59,1659.6562711864408
2024-06-12,103945.25,69,1506.4528985507247
2024-06-13,107149.67,55,1948.1758181818182
2024-06-14,113339.73,68,1666.7607352941177
2024-06-15,106018.42,69,1536.49884057971
